,loss,val_loss,lr
0,0.24232430756092072,0.6343994140625,1e-04
1,0.13025763630867004,0.586228609085083,1e-04
2,0.09110376238822937,0.5486125349998474,1e-04
3,0.07728233933448792,0.5152291059494019,1e-04
4,0.06629783660173416,0.4797013998031616,1e-04
5,0.05494561418890953,0.43657803535461426,1e-04
6,0.045992158353328705,0.4018019139766693,1e-04
7,0.038884710520505905,0.3774682581424713,1e-04
8,0.03485126793384552,0.3427796959877014,1e-04
9,0.03376328945159912,0.32578304409980774,1e-04
10,0.03367774561047554,0.29865363240242004,1e-04
11,0.03116547130048275,0.26479285955429077,1e-04
12,0.031255293637514114,0.2384655475616455,1e-04
13,0.031219562515616417,0.2054915577173233,1e-04
14,0.02963011898100376,0.18077534437179565,1e-04
15,0.027802778407931328,0.16764068603515625,1e-04
16,0.02879764884710312,0.13990773260593414,1e-04
17,0.026564637199044228,0.12721191346645355,1e-04
18,0.027084842324256897,0.11691230535507202,1e-04
19,0.025807632133364677,0.10194283723831177,1e-04
20,0.026032544672489166,0.09945254772901535,1e-04
21,0.026332814246416092,0.08618339151144028,1e-04
22,0.02468864805996418,0.0791921615600586,1e-04
23,0.026871243491768837,0.060767266899347305,1e-04
24,0.025609543547034264,0.05734240263700485,1e-04
25,0.025132497772574425,0.027776384726166725,1e-04
26,0.023655302822589874,0.028584852814674377,1e-04
27,0.023073548451066017,0.03488409146666527,1e-04
28,0.02393069677054882,0.02255302108824253,1e-04
29,0.02281096577644348,0.021967917680740356,1e-04
30,0.022964656352996826,0.020929789170622826,1e-04
31,0.022780798375606537,0.021303893998265266,1e-04
32,0.023147497326135635,0.020537104457616806,1e-04
33,0.02317693829536438,0.022107459604740143,1e-04
34,0.02264757640659809,0.020515447482466698,1e-04
35,0.021891627460718155,0.022460930049419403,1e-04
36,0.022181035950779915,0.021296745166182518,1e-04
37,0.021595392376184464,0.01995837688446045,1e-04
38,0.021579770371317863,0.019495517015457153,1e-04
39,0.021092209964990616,0.020361414179205894,1e-04
40,0.023101001977920532,0.02847132459282875,1e-04
41,0.022803133353590965,0.02176843211054802,1e-04
42,0.021258126944303513,0.019719388335943222,1e-04
43,0.02072746865451336,0.01940288580954075,1e-04
44,0.020783448591828346,0.02186584286391735,1e-04
45,0.020112844184041023,0.02011575736105442,1e-04
46,0.02067633345723152,0.020585782825946808,1e-04
47,0.02005387470126152,0.022331643849611282,1e-04
48,0.020252281799912453,0.021518278867006302,1e-04
49,0.01953091286122799,0.019660551100969315,1e-04
50,0.021396849304437637,0.020128795877099037,1e-04
51,0.021943189203739166,0.09006843715906143,1e-04
52,0.02022155001759529,0.02077099308371544,1e-04
53,0.0202708151191473,0.01907132938504219,1e-04
54,0.019193420186638832,0.02088354527950287,1e-04
55,0.018782341852784157,0.02124459110200405,1e-04
56,0.01847655139863491,0.02049800008535385,1e-04
57,0.018643908202648163,0.021671032533049583,1e-04
58,0.017938917502760887,0.018921926617622375,1e-04
59,0.01889803819358349,0.019181041046977043,1e-04
60,0.019115565344691277,0.021498793736100197,1e-04
61,0.017573492601513863,0.01883058063685894,1e-04
62,0.017027487978339195,0.02043488621711731,1e-04
63,0.01743481680750847,0.01917095109820366,1e-04
64,0.017217503860592842,0.018607378005981445,1e-04
65,0.016901647672057152,0.018550856038928032,1e-04
